DataPoint,Cycle Index,Step Index,Step started to end the identification ,Step Type,Time,Total Time,Current(A),Voltage(V),Capacity(Ah),Spec. Cap.(mAh/g),Chg. Cap.(Ah),Chg. Spec. Cap.(mAh/g),DChg. Cap.(Ah),DChg. Spec. Cap.(mAh/g),Energy(Wh),Spec. Energy(mWh/g),Chg. Energy(Wh),Chg. Spec. Energy(mWh/g),DChg. Energy(Wh),DChg. Spec. Energy(mWh/g),Date,Power(W),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact resistance(mΩ),Module start-stop switch,SOC/DOD(%),LgD
11,1,1,,CCCV Chg,00:05:00,00:05:00,49.9982,54.1081,4.1666,4166638.22,4.1666,4166638.22,0.0000,0.00,224.9456,224945607.11,224.9456,224945607.11,0.0000,0.00,2024-07-01 12:52:54,2705.3098,55555.2,55555223.7,0.00,Close,5.41,
12,1,1,,CCCV Chg,00:05:30,00:05:30,49.9979,54.1151,4.5833,4583302.40,4.5833,4583302.40,0.0000,0.00,247.4922,247492221.16,247.4922,247492221.16,0.0000,0.00,2024-07-01 12:53:24,2705.6408,59523.5,59523454.0,0.00,Close,5.95,
13,1,1,,CCCV Chg,00:06:00,00:06:00,50.0008,54.1221,5.0000,4999965.51,5.0000,4999965.51,0.0000,0.00,270.0419,270041884.44,270.0419,270041884.44,0.0000,0.00,2024-07-01 12:53:54,2706.1505,59523.3,59523301.6,0.00,Close,6.49,
14,1,1,,CCCV Chg,00:06:30,00:06:30,50.0011,54.1304,5.4166,5416631.82,5.4166,5416631.82,0.0000,0.00,292.5945,292594460.44,292.5945,292594460.44,0.0000,0.00,2024-07-01 12:54:24,2706.5785,50200.8,50200760.4,0.00,Close,7.03,
15,1,1,,CCCV Chg,00:07:00,00:07:00,50.0022,54.1345,5.8333,5833295.64,5.8333,5833295.64,0.0000,0.00,315.1497,315149698.84,315.1497,315149698.84,0.0000,0.00,2024-07-01 12:54:54,2706.8430,101625.3,101625322.5,0.00,Close,7.57,
16,1,1,,CCCV Chg,00:07:30,00:07:30,50.0021,54.1395,6.2500,6249959.11,6.2500,6249959.11,0.0000,0.00,337.7068,337706780.44,337.7068,337706780.44,0.0000,0.00,2024-07-01 12:55:24,2707.0909,83332.7,83332693.3,0.00,Close,8.11,
17,1,1,,CCCV Chg,00:08:00,00:08:00,49.9991,54.1412,6.6666,6666621.16,6.6666,6666621.16,0.0000,0.00,360.2654,360265386.67,360.2654,360265386.67,0.0000,0.00,2024-07-01 12:55:54,2707.0124,245095.3,245095320.3,0.00,Close,8.65,
18,1,1,,CCCV Chg,00:08:30,00:08:30,49.9969,54.1466,7.0833,7083285.33,7.0833,7083285.33,0.0000,0.00,382.8257,382825722.31,382.8257,382825722.31,0.0000,0.00,2024-07-01 12:56:24,2707.1627,77160.0,77160032.9,0.00,Close,9.19,
19,1,1,,CCCV Chg,00:09:00,00:09:00,49.9979,54.1487,7.5000,7499950.22,7.5000,7499950.22,0.0000,0.00,405.3871,405387081.96,405.3871,405387081.96,0.0000,0.00,2024-07-01 12:56:54,2707.3186,198411.9,198411851.9,0.00,Close,9.73,
20,1,1,,CCCV Chg,00:09:30,00:09:30,49.9994,54.1544,7.9166,7916613.69,7.9166,7916613.69,0.0000,0.00,427.9503,427950307.56,427.9503,427950307.56,0.0000,0.00,2024-07-01 12:57:24,2707.6870,73098.9,73098853.8,0.00,Close,10.27,
21,1,1,,CCCV Chg,00:10:00,00:10:00,50.0029,54.1562,8.3333,8333279.29,8.3333,8333279.29,0.0000,0.00,450.5146,450514625.42,450.5146,450514625.42,0.0000,0.00,2024-07-01 12:57:54,2707.9643,231480.9,231480888.9,0.00,Close,10.81,
22,1,1,,CCCV Chg,00:10:30,00:10:30,50.0000,54.1576,8.7499,8749942.76,8.7499,8749942.76,0.0000,0.00,473.0796,473079580.44,473.0796,473079580.44,0.0000,0.00,2024-07-01 12:58:24,2707.8789,297616.8,297616761.9,0.00,Close,11.35,
23,1,1,,CCCV Chg,00:11:00,00:11:00,49.9993,54.1581,9.1666,9166608.36,9.1666,9166608.36,0.0000,0.00,495.6455,495645491.20,495.6455,495645491.20,0.0000,0.00,2024-07-01 12:58:54,2707.8693,833331.2,833331200.0,0.00,Close,11.89,
24,1,1,,CCCV Chg,00:11:30,00:11:30,49.9959,54.1598,9.5833,9583268.98,9.5833,9583268.98,0.0000,0.00,518.2117,518211720.53,518.2117,518211720.53,0.0000,0.00,2024-07-01 12:59:24,2707.7658,245094.5,245094483.7,0.00,Close,12.43,
25,1,1,,CCCV Chg,00:12:00,00:12:00,50.0022,54.1610,9.9999,9999932.44,9.9999,9999932.44,0.0000,0.00,540.7785,540778541.51,540.7785,540778541.51,0.0000,0.00,2024-07-01 12:59:54,2708.1692,347219.6,347219555.6,0.00,Close,12.97,
26,1,1,,CCCV Chg,00:12:30,00:12:30,50.0011,54.1626,10.4166,10416596.62,10.4166,10416596.62,0.0000,0.00,563.3460,563345999.64,563.3460,563345999.64,0.0000,0.00,2024-07-01 13:00:24,2708.1912,260415.1,260415111.1,0.00,Close,13.51,
27,1,1,,CCCV Chg,00:13:00,00:13:00,49.9998,54.1638,10.8333,10833263.64,10.8333,10833263.64,0.0000,0.00,585.9140,585914049.42,585.9140,585914049.42,0.0000,0.00,2024-07-01 13:00:54,2708.1808,347222.5,347222518.5,0.00,Close,14.06,
28,1,1,,CCCV Chg,00:13:30,00:13:30,50.0007,54.1681,11.2499,11249925.69,11.2499,11249925.69,0.0000,0.00,608.4826,608482554.31,608.4826,608482554.31,0.0000,0.00,2024-07-01 13:01:24,2708.4435,96898.1,96898149.9,0.00,Close,14.60,
29,1,1,,CCCV Chg,00:14:00,00:14:00,49.9975,54.1698,11.6666,11666589.16,11.6666,11666589.16,0.0000,0.00,631.0527,631052652.09,631.0527,631052652.09,0.0000,0.00,2024-07-01 13:01:54,2708.3540,245096.2,245096156.9,0.00,Close,15.14,
30,1,1,,CCCV Chg,00:14:30,00:14:30,50.0052,54.1707,12.0833,12083252.62,12.0833,12083252.62,0.0000,0.00,653.6230,653623022.93,653.6230,653623022.93,0.0000,0.00,2024-07-01 13:02:24,2708.8151,462959.4,462959407.4,0.00,Close,15.68,
31,1,1,,CCCV Chg,00:15:00,00:15:00,49.9878,54.1707,12.4999,12499915.38,12.4999,12499915.38,0.0000,0.00,676.1937,676193712.36,676.1937,676193712.36,0.0000,0.00,2024-07-01 13:02:54,2707.8725,0.0,0.0,0.00,Close,16.22,
32,1,1,,CCCV Chg,00:15:30,00:15:30,49.9955,54.1749,12.9166,12916578.13,12.9166,12916578.13,0.0000,0.00,698.7649,698764856.89,698.7649,698764856.89,0.0000,0.00,2024-07-01 13:03:24,2708.4990,99205.4,99205418.0,0.00,Close,16.76,
33,1,1,,CCCV Chg,00:16:00,00:16:00,49.9985,54.1752,13.3332,13333239.47,13.3332,13333239.47,0.0000,0.00,721.3372,721337184.71,721.3372,721337184.71,0.0000,0.00,2024-07-01 13:03:54,2708.6804,1388871.1,1388871111.1,0.00,Close,17.30,
34,1,1,,CCCV Chg,00:16:30,00:16:30,49.9972,54.1746,13.7499,13749903.64,13.7499,13749903.64,0.0000,0.00,743.9097,743909694.58,743.9097,743909694.58,0.0000,0.00,2024-07-01 13:04:24,2708.5772,-694440.3,-694440296.3,0.00,Close,17.84,
35,1,1,,CCCV Chg,00:17:00,00:17:00,49.9942,54.1769,14.1666,14166569.24,14.1666,14166569.24,0.0000,0.00,766.4830,766483023.64,766.4830,766483023.64,0.0000,0.00,2024-07-01 13:04:54,2708.5313,181159.0,181158956.5,0.00,Close,18.38,
36,1,1,,CCCV Chg,00:17:30,00:17:30,49.9963,54.1781,14.5832,14583232.00,14.5832,14583232.00,0.0000,0.00,789.0565,789056534.76,789.0565,789056534.76,0.0000,0.00,2024-07-01 13:05:24,2708.7062,347219.0,347218963.0,0.00,Close,18.92,
37,1,1,,CCCV Chg,00:18:00,00:18:00,50.0023,54.1764,14.9999,14999894.76,14.9999,14999894.76,0.0000,0.00,811.6306,811630592.00,811.6306,811630592.00,0.0000,0.00,2024-07-01 13:05:54,2708.9457,-245095.7,-245095738.6,0.00,Close,19.46,
38,1,1,,CCCV Chg,00:18:30,00:18:30,49.9954,54.1799,15.4166,15416557.51,15.4166,15416557.51,0.0000,0.00,834.2048,834204831.29,834.2048,834204831.29,0.0000,0.00,2024-07-01 13:06:24,2708.7469,119046.5,119046501.6,0.00,Close,20.00,
39,1,1,,CCCV Chg,00:19:00,00:19:00,50.0030,54.1791,15.8332,15833221.69,15.8332,15833221.69,0.0000,0.00,856.7797,856779707.73,856.7797,856779707.73,0.0000,0.00,2024-07-01 13:06:54,2709.1192,-520830.2,-520830222.2,0.00,Close,20.54,
40,1,1,,CCCV Chg,00:19:30,00:19:30,50.0034,54.1826,16.2499,16249885.87,16.2499,16249885.87,0.0000,0.00,879.3552,879355221.33,879.3552,879355221.33,0.0000,0.00,2024-07-01 13:07:24,2709.3169,119046.9,119046907.9,0.00,Close,21.08,
41,1,1,,CCCV Chg,00:20:00,00:20:00,49.9997,54.1830,16.6666,16666551.47,16.6666,16666551.47,0.0000,0.00,901.9312,901931190.04,901.9312,901931190.04,0.0000,0.00,2024-07-01 13:07:54,2709.1332,1041664.0,1041664000.0,0.00,Close,21.62,
42,1,1,,CCCV Chg,00:20:30,00:20:30,50.0004,54.1859,17.0832,17083218.49,17.0832,17083218.49,0.0000,0.00,924.5080,924507977.96,924.5080,924507977.96,0.0000,0.00,2024-07-01 13:08:24,2709.3161,143678.3,143678283.5,0.00,Close,22.16,
43,1,1,,CCCV Chg,00:21:00,00:21:00,49.9942,54.1866,17.4999,17499882.67,17.4999,17499882.67,0.0000,0.00,947.0854,947085403.02,947.0854,947085403.02,0.0000,0.00,2024-07-01 13:08:54,2709.0163,595234.5,595234539.7,0.00,Close,22.70,
44,1,1,,CCCV Chg,00:21:30,00:21:30,49.9984,54.1880,17.9165,17916548.27,17.9165,17916548.27,0.0000,0.00,969.6637,969663738.31,969.6637,969663738.31,0.0000,0.00,2024-07-01 13:09:24,2709.3155,297618.3,297618285.7,0.00,Close,23.25,
45,1,1,,CCCV Chg,00:22:00,00:22:00,50.0018,54.1900,18.3332,18333213.87,18.3332,18333213.87,0.0000,0.00,992.2425,992242528.71,992.2425,992242528.71,0.0000,0.00,2024-07-01 13:09:54,2709.5965,208332.8,208332800.0,0.00,Close,23.79,
46,1,1,,CCCV Chg,00:22:30,00:22:30,50.0018,54.1920,18.7499,18749879.47,18.7499,18749879.47,0.0000,0.00,1014.8223,1014822320.36,1014.8223,1014822320.36,0.0000,0.00,2024-07-01 13:10:24,2709.6965,208332.8,208332800.0,0.00,Close,24.33,
47,1,1,,CCCV Chg,00:23:00,00:23:00,49.9979,54.1948,19.1665,19166542.22,19.1665,19166542.22,0.0000,0.00,1037.4030,1037403022.22,1037.4030,1037403022.22,0.0000,0.00,2024-07-01 13:10:54,2709.6273,148808.1,148808127.0,0.00,Close,24.87,
48,1,1,,CCCV Chg,00:23:30,00:23:30,49.9858,54.1966,19.5832,19583204.98,19.5832,19583204.98,0.0000,0.00,1059.9847,1059984725.33,1059.9847,1059984725.33,0.0000,0.00,2024-07-01 13:11:24,2709.0588,231479.3,231479308.6,0.00,Close,25.41,
49,1,1,,CCCV Chg,00:24:00,00:24:00,49.9997,54.1990,19.9999,19999866.31,19.9999,19999866.31,0.0000,0.00,1082.5674,1082567429.69,1082.5674,1082567429.69,0.0000,0.00,2024-07-01 13:11:54,2709.9316,173608.9,173608888.9,0.00,Close,25.95,
50,1,1,,CCCV Chg,00:24:30,00:24:30,50.0004,54.2011,20.4165,20416533.33,20.4165,20416533.33,0.0000,0.00,1105.1510,1105151044.27,1105.1510,1105151044.27,0.0000,0.00,2024-07-01 13:12:24,2710.0740,198412.9,198412867.7,0.00,Close,26.49,
51,1,1,,CCCV Chg,00:25:00,00:25:00,49.9975,54.2044,20.8332,20833197.51,20.8332,20833197.51,0.0000,0.00,1127.7357,1127735660.09,1127.7357,1127735660.09,0.0000,0.00,2024-07-01 13:12:54,2710.0823,126261.9,126261872.1,0.00,Close,27.03,
52,1,1,,CCCV Chg,00:25:30,00:25:30,49.9993,54.2074,21.2499,21249864.53,21.2499,21249864.53,0.0000,0.00,1150.3215,1150321459.20,1150.3215,1150321459.20,0.0000,0.00,2024-07-01 13:13:24,2710.3293,138889.0,138889007.4,0.00,Close,27.57,
53,1,1,,CCCV Chg,00:26:00,00:26:00,49.9948,54.2118,21.6665,21666528.71,21.6665,21666528.71,0.0000,0.00,1172.9086,1172908623.64,1172.9086,1172908623.64,0.0000,0.00,2024-07-01 13:13:54,2710.3054,94696.4,94696404.0,0.00,Close,28.11,
54,1,1,,CCCV Chg,00:26:30,00:26:30,50.0035,54.2165,22.0832,22083188.62,22.0832,22083188.62,0.0000,0.00,1195.4967,1195496698.31,1195.4967,1195496698.31,0.0000,0.00,2024-07-01 13:14:24,2711.0142,88651.0,88651044.9,0.00,Close,28.65,
55,1,1,,CCCV Chg,00:27:00,00:27:00,49.9991,54.2159,22.4999,22499857.07,22.4999,22499857.07,0.0000,0.00,1218.0864,1218086411.38,1218.0864,1218086411.38,0.0000,0.00,2024-07-01 13:14:54,2710.7484,-694447.4,-694447407.4,0.00,Close,29.19,
56,1,1,,CCCV Chg,00:27:30,00:27:30,50.0032,54.2196,22.9165,22916522.67,22.9165,22916522.67,0.0000,0.00,1240.6769,1240676943.64,1240.6769,1240676943.64,0.0000,0.00,2024-07-01 13:15:24,2711.1513,112612.3,112612324.3,0.00,Close,29.73,
57,1,1,,CCCV Chg,00:28:00,00:28:00,49.9997,54.2247,23.3332,23333188.27,23.3332,23333188.27,0.0000,0.00,1263.2690,1263269023.29,1263.2690,1263269023.29,0.0000,0.00,2024-07-01 13:15:54,2711.2166,81699.1,81699137.3,0.00,Close,30.27,
58,1,1,,CCCV Chg,00:28:30,00:28:30,49.9968,54.2267,23.7499,23749851.02,23.7499,23749851.02,0.0000,0.00,1285.8624,1285862377.24,1285.8624,1285862377.24,0.0000,0.00,2024-07-01 13:16:24,2711.1598,208331.4,208331377.8,0.00,Close,30.81,
59,1,1,,CCCV Chg,00:29:00,00:29:00,50.0003,54.2285,24.1665,24166516.62,24.1665,24166516.62,0.0000,0.00,1308.4573,1308457278.58,1308.4573,1308457278.58,0.0000,0.00,2024-07-01 13:16:54,2711.4402,231480.9,231480888.9,0.00,Close,31.35,
60,1,1,,CCCV Chg,00:29:30,00:29:30,49.9982,54.2317,24.5832,24583176.53,24.5832,24583176.53,0.0000,0.00,1331.0529,1331052908.09,1331.0529,1331052908.09,0.0000,0.00,2024-07-01 13:17:24,2711.4896,130206.2,130206222.2,0.00,Close,31.89,
61,1,1,,CCCV Chg,00:30:00,00:30:00,49.9996,54.2393,24.9998,24999842.13,24.9998,24999842.13,0.0000,0.00,1353.6506,1353650631.11,1353.6506,1353650631.11,0.0000,0.00,2024-07-01 13:17:54,2711.9438,54824.4,54824421.1,0.00,Close,32.44,
62,1,1,,CCCV Chg,00:30:30,00:30:30,50.0096,54.2406,25.4165,25416507.73,25.4165,25416507.73,0.0000,0.00,1376.2504,1376250356.62,1376.2504,1376250356.62,0.0000,0.00,2024-07-01 13:18:24,2712.5485,320512.0,320512000.0,0.00,Close,32.98,
63,1,1,,CCCV Chg,00:31:00,00:31:00,49.9996,54.2452,25.8332,25833170.49,25.8332,25833170.49,0.0000,0.00,1398.8512,1398851174.40,1398.8512,1398851174.40,0.0000,0.00,2024-07-01 13:18:54,2712.2388,90578.9,90578859.9,0.00,Close,33.52,
64,1,1,,CCCV Chg,00:31:30,00:31:30,49.9953,54.2482,26.2498,26249836.09,26.2498,26249836.09,0.0000,0.00,1421.4539,1421453903.64,1421.4539,1421453903.64,0.0000,0.00,2024-07-01 13:19:24,2712.1539,138888.5,138888533.3,0.00,Close,34.06,
65,1,1,,CCCV Chg,00:32:00,00:32:00,49.9967,54.2531,26.6665,26666498.84,26.6665,26666498.84,0.0000,0.00,1444.0579,1444057907.20,1444.0579,1444057907.20,0.0000,0.00,2024-07-01 13:19:54,2712.4760,85033.2,85033215.4,0.00,Close,34.60,
66,1,1,,CCCV Chg,00:32:30,00:32:30,50.0024,54.2556,27.0832,27083161.60,27.0832,27083161.60,0.0000,0.00,1466.6636,1466663640.18,1466.6636,1466663640.18,0.0000,0.00,2024-07-01 13:20:24,2712.9129,166665.1,166665102.2,0.00,Close,35.14,
67,1,1,,CCCV Chg,00:33:00,00:33:00,50.0011,54.2596,27.4998,27499827.20,27.4998,27499827.20,0.0000,0.00,1489.2710,1489271011.56,1489.2710,1489271011.56,0.0000,0.00,2024-07-01 13:20:54,2713.0397,104166.4,104166400.0,0.00,Close,35.68,
68,1,1,,CCCV Chg,00:33:30,00:33:30,49.9933,54.2651,27.9165,27916492.80,27.9165,27916492.80,0.0000,0.00,1511.8804,1511880385.42,1511.8804,1511880385.42,0.0000,0.00,2024-07-01 13:21:24,2712.8903,75757.4,75757381.8,0.00,Close,36.22,
69,1,1,,CCCV Chg,00:34:00,00:34:00,50.0021,54.2704,28.3332,28333158.40,28.3332,28333158.40,0.0000,0.00,1534.4916,1534491579.73,1534.4916,1534491579.73,0.0000,0.00,2024-07-01 13:21:54,2713.6351,78616.2,78616150.9,0.00,Close,36.76,
70,1,1,,CCCV Chg,00:34:30,00:34:30,50.0030,54.2735,28.7498,28749821.16,28.7498,28749821.16,0.0000,0.00,1557.1046,1557104594.49,1557.1046,1557104594.49,0.0000,0.00,2024-07-01 13:22:24,2713.8384,134407.3,134407340.5,0.00,Close,37.30,
71,1,1,,CCCV Chg,00:35:00,00:35:00,49.9983,54.2767,29.1665,29166486.76,29.1665,29166486.76,0.0000,0.00,1579.7192,1579719247.64,1579.7192,1579719247.64,0.0000,0.00,2024-07-01 13:22:54,2713.7427,130208.0,130208000.0,0.00,Close,37.84,
72,1,1,,CCCV Chg,00:35:30,00:35:30,49.9993,54.2844,29.5831,29583149.51,29.5831,29583149.51,0.0000,0.00,1602.3363,1602336267.38,1602.3363,1602336267.38,0.0000,0.00,2024-07-01 13:23:24,2714.1825,54112.0,54112046.2,0.00,Close,38.38,
73,1,1,,CCCV Chg,00:36:00,00:36:00,50.0026,54.2905,29.9998,29999812.27,29.9998,29999812.27,0.0000,0.00,1624.9557,1624955653.69,1624.9557,1624955653.69,0.0000,0.00,2024-07-01 13:23:54,2714.6683,68305.4,68305369.8,0.00,Close,38.92,
74,1,1,,CCCV Chg,00:36:30,00:36:30,49.9967,54.2948,30.4165,30416480.71,30.4165,30416480.71,0.0000,0.00,1647.5774,1647577406.58,1647.5774,1647577406.58,0.0000,0.00,2024-07-01 13:24:24,2714.5597,96899.6,96899638.2,0.00,Close,39.46,
75,1,1,,CCCV Chg,00:37:00,00:37:00,50.0049,54.2997,30.8331,30833143.47,30.8331,30833143.47,0.0000,0.00,1670.2012,1670201161.96,1670.2012,1670201161.96,0.0000,0.00,2024-07-01 13:24:54,2715.2505,85033.2,85033215.4,0.00,Close,40.00,
76,1,1,,CCCV Chg,00:37:30,00:37:30,50.0069,54.3066,31.2498,31249803.38,31.2498,31249803.38,0.0000,0.00,1692.8276,1692827648.00,1692.8276,1692827648.00,0.0000,0.00,2024-07-01 13:25:24,2715.7058,60385.5,60385494.4,0.00,Close,40.54,
77,1,1,,CCCV Chg,00:38:00,00:38:00,50.0006,54.3128,31.6665,31666468.98,31.6665,31666468.98,0.0000,0.00,1715.4572,1715457228.80,1715.4572,1715457228.80,0.0000,0.00,2024-07-01 13:25:54,2715.6715,67204.1,67204129.0,0.00,Close,41.08,
78,1,1,,CCCV Chg,00:38:30,00:38:30,49.9939,54.3199,32.0831,32083128.89,32.0831,32083128.89,0.0000,0.00,1738.0888,1738088812.09,1738.0888,1738088812.09,0.0000,0.00,2024-07-01 13:26:24,2715.6626,58684.5,58684494.5,0.00,Close,41.62,
79,1,1,,CCCV Chg,00:39:00,00:39:00,50.0004,54.3233,32.4998,32499794.49,32.4998,32499794.49,0.0000,0.00,1760.7229,1760722944.00,1760.7229,1760722944.00,0.0000,0.00,2024-07-01 13:26:54,2716.1851,122548.7,122548705.9,0.00,Close,42.17,
80,1,1,,CCCV Chg,00:39:30,00:39:30,50.0022,54.3320,32.9165,32916462.93,32.9165,32916462.93,0.0000,0.00,1783.3598,1783359806.58,1783.3598,1783359806.58,0.0000,0.00,2024-07-01 13:27:24,2716.7179,47892.9,47892924.6,0.00,Close,42.71,
81,1,1,,CCCV Chg,00:40:00,00:40:00,50.0001,54.3389,33.3331,33333125.69,33.3331,33333125.69,0.0000,0.00,1805.9996,1805999581.87,1805.9996,1805999581.87,0.0000,0.00,2024-07-01 13:27:54,2716.9477,60385.9,60385906.6,0.00,Close,43.25,
82,1,1,,CCCV Chg,00:40:30,00:40:30,50.0028,54.3447,33.7498,33749788.44,33.7498,33749788.44,0.0000,0.00,1828.6417,1828641723.73,1828.6417,1828641723.73,0.0000,0.00,2024-07-01 13:28:24,2717.3855,71838.4,71838406.1,0.00,Close,43.79,
83,1,1,,CCCV Chg,00:41:00,00:41:00,49.9973,54.3516,34.1665,34166454.04,34.1665,34166454.04,0.0000,0.00,1851.2864,1851286414.22,1851.2864,1851286414.22,0.0000,0.00,2024-07-01 13:28:54,2717.4338,60386.3,60386318.8,0.00,Close,44.33,
84,1,1,,CCCV Chg,00:41:30,00:41:30,49.9995,54.3579,34.5831,34583116.80,34.5831,34583116.80,0.0000,0.00,1873.9340,1873934017.42,1873.9340,1873934017.42,0.0000,0.00,2024-07-01 13:29:24,2717.8700,66136.9,66136945.3,0.00,Close,44.87,
85,1,1,,CCCV Chg,00:42:00,00:42:00,50.0009,54.3653,34.9998,34999782.40,34.9998,34999782.40,0.0000,0.00,1896.5844,1896584351.29,1896.5844,1896584351.29,0.0000,0.00,2024-07-01 13:29:54,2718.3112,56306.2,56306162.2,0.00,Close,45.41,
86,1,1,,CCCV Chg,00:42:30,00:42:30,50.0055,54.3738,35.4164,35416448.00,35.4164,35416448.00,0.0000,0.00,1919.2383,1919238326.04,1919.2383,1919238326.04,0.0000,0.00,2024-07-01 13:30:24,2718.9896,49019.5,49019482.4,0.00,Close,45.95,
87,1,1,,CCCV Chg,00:43:00,00:43:00,50.0020,54.3798,35.8331,35833113.60,35.8331,35833113.60,0.0000,0.00,1941.8954,1941895395.56,1941.8954,1941895395.56,0.0000,0.00,2024-07-01 13:30:54,2719.0993,69444.3,69444266.7,0.00,Close,46.49,
88,1,1,,CCCV Chg,00:43:30,00:43:30,49.9995,54.3880,36.2498,36249776.36,36.2498,36249776.36,0.0000,0.00,1964.5552,1964555195.73,1964.5552,1964555195.73,0.0000,0.00,2024-07-01 13:31:24,2719.3750,50812.5,50812531.2,0.00,Close,47.03,
89,1,1,,CCCV Chg,00:44:00,00:44:00,50.0011,54.3966,36.6664,36666439.11,36.6664,36666439.11,0.0000,0.00,1987.2190,1987219000.89,1987.2190,1987219000.89,0.0000,0.00,2024-07-01 13:31:54,2719.8904,48449.2,48449157.6,0.00,Close,47.57,
90,1,1,,CCCV Chg,00:44:30,00:44:30,50.0030,54.4087,37.0831,37083107.56,37.0831,37083107.56,0.0000,0.00,2009.8866,2009886628.98,2009.8866,2009886628.98,0.0000,0.00,2024-07-01 13:32:24,2720.5982,34435.4,34435408.6,0.00,Close,48.11,
91,1,1,,CCCV Chg,00:45:00,00:45:00,49.9998,54.4159,37.4998,37499767.47,37.4998,37499767.47,0.0000,0.00,2032.5581,2032558080.00,2032.5581,2032558080.00,0.0000,0.00,2024-07-01 13:32:54,2720.7836,57869.4,57869432.1,0.00,Close,48.65,
92,1,1,,CCCV Chg,00:45:30,00:45:30,49.9999,54.4268,37.9164,37916435.91,37.9164,37916435.91,0.0000,0.00,2055.2335,2055233536.00,2055.2335,2055233536.00,0.0000,0.00,2024-07-01 13:33:24,2721.3367,38226.5,38226462.8,0.00,Close,49.19,
93,1,1,,CCCV Chg,00:46:00,00:46:00,49.9967,54.4355,38.3331,38333098.67,38.3331,38333098.67,0.0000,0.00,2077.9130,2077912996.98,2077.9130,2077912996.98,0.0000,0.00,2024-07-01 13:33:54,2721.5937,47892.3,47892270.8,0.00,Close,49.73,
