DataPoint,Cycle Index,Step Index,Step started to end the identification ,Step Type,Time,Total Time,Current(A),Voltage(V),Capacity(Ah),Spec. Cap.(mAh/g),Chg. Cap.(Ah),Chg. Spec. Cap.(mAh/g),DChg. Cap.(Ah),DChg. Spec. Cap.(mAh/g),Energy(Wh),Spec. Energy(mWh/g),Chg. Energy(Wh),Chg. Spec. Energy(mWh/g),DChg. Energy(Wh),DChg. Spec. Energy(mWh/g),Date,Power(W),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact resistance(mΩ),Module start-stop switch,SOC/DOD(%),LgD
40,1,1,,CCCV Chg,00:19:30,00:19:30,49.9962,54.2227,16.2499,16249937.07,16.2499,16249937.07,0.0000,0.00,880.2202,880220205.51,880.2202,880220205.51,0.0000,0.00,2024-07-02 09:32:57,2710.9290,-462966.5,-462966518.5,0.00,Close,20.70,
41,1,1,,CCCV Chg,00:20:00,00:20:00,50.0000,54.2238,16.6666,16666598.40,16.6666,16666598.40,0.0000,0.00,902.8130,902813013.33,902.8130,902813013.33,0.0000,0.00,2024-07-02 09:33:27,2711.1878,378783.0,378783030.3,0.00,Close,21.23,
42,1,1,,CCCV Chg,00:20:30,00:20:30,49.9976,54.2265,17.0833,17083264.00,17.0833,17083264.00,0.0000,0.00,925.4064,925406367.29,925.4064,925406367.29,0.0000,0.00,2024-07-02 09:33:57,2711.1954,154320.6,154320592.6,0.00,Close,21.76,
43,1,1,,CCCV Chg,00:21:00,00:21:00,50.0027,54.2272,17.4999,17499929.60,17.4999,17499929.60,0.0000,0.00,948.0006,948000631.47,948.0006,948000631.47,0.0000,0.00,2024-07-02 09:34:27,2711.5053,595236.6,595236571.4,0.00,Close,22.29,
44,1,1,,CCCV Chg,00:21:30,00:21:30,50.0011,54.2287,17.9166,17916595.20,17.9166,17916595.20,0.0000,0.00,970.5954,970595350.76,970.5954,970595350.76,0.0000,0.00,2024-07-02 09:34:57,2711.4941,277777.1,277777066.7,0.00,Close,22.82,
45,1,1,,CCCV Chg,00:22:00,00:22:00,50.0033,54.2302,18.3333,18333259.38,18.3333,18333259.38,0.0000,0.00,993.1906,993190616.18,993.1906,993190616.18,0.0000,0.00,2024-07-02 09:35:27,2711.6900,277776.1,277776118.5,0.00,Close,23.35,
46,1,1,,CCCV Chg,00:22:30,00:22:30,49.9977,54.2313,18.7499,18749924.98,18.7499,18749924.98,0.0000,0.00,1015.7868,1015786791.82,1015.7868,1015786791.82,0.0000,0.00,2024-07-02 09:35:57,2711.4392,378786.9,378786909.1,0.00,Close,23.88,
47,1,1,,CCCV Chg,00:23:00,00:23:00,49.9933,54.2364,19.1666,19166590.58,19.1666,19166590.58,0.0000,0.00,1038.3838,1038383786.67,1038.3838,1038383786.67,0.0000,0.00,2024-07-02 09:36:27,2711.4566,81699.1,81699137.3,0.00,Close,24.41,
48,1,1,,CCCV Chg,00:23:30,00:23:30,50.0001,54.2347,19.5833,19583256.18,19.5833,19583256.18,0.0000,0.00,1060.9820,1060981964.80,1060.9820,1060981964.80,0.0000,0.00,2024-07-02 09:36:57,2711.7388,-245097.4,-245097411.8,0.00,Close,24.94,
49,1,1,,CCCV Chg,00:24:00,00:24:00,49.9950,54.2390,19.9999,19999924.62,19.9999,19999924.62,0.0000,0.00,1083.5809,1083580871.11,1083.5809,1083580871.11,0.0000,0.00,2024-07-02 09:37:27,2711.6777,96899.6,96899638.2,0.00,Close,25.47,
50,1,1,,CCCV Chg,00:24:30,00:24:30,49.9904,54.2392,20.4166,20416588.80,20.4166,20416588.80,0.0000,0.00,1106.1802,1106180232.53,1106.1802,1106180232.53,0.0000,0.00,2024-07-02 09:37:57,2711.4388,2083320.9,2083320888.9,0.00,Close,26.00,
51,1,1,,CCCV Chg,00:25:00,00:25:00,49.9961,54.2412,20.8333,20833255.82,20.8333,20833255.82,0.0000,0.00,1128.7804,1128780413.16,1128.7804,1128780413.16,0.0000,0.00,2024-07-02 09:38:27,2711.8512,208333.5,208333511.1,0.00,Close,26.54,
52,1,1,,CCCV Chg,00:25:30,00:25:30,50.0016,54.2447,21.2499,21249922.84,21.2499,21249922.84,0.0000,0.00,1151.3815,1151381504.00,1151.3815,1151381504.00,0.0000,0.00,2024-07-02 09:38:57,2712.3234,119047.7,119047720.6,0.00,Close,27.07,
53,1,1,,CCCV Chg,00:26:00,00:26:00,50.0001,54.2468,21.6666,21666588.44,21.6666,21666588.44,0.0000,0.00,1173.9835,1173983505.07,1173.9835,1173983505.07,0.0000,0.00,2024-07-02 09:39:27,2712.3454,198412.2,198412190.5,0.00,Close,27.60,
54,1,1,,CCCV Chg,00:26:30,00:26:30,50.0016,54.2463,22.0833,22083251.20,22.0833,22083251.20,0.0000,0.00,1196.5855,1196585506.13,1196.5855,1196585506.13,0.0000,0.00,2024-07-02 09:39:57,2712.4034,-833325.5,-833325511.1,0.00,Close,28.13,
55,1,1,,CCCV Chg,00:27:00,00:27:00,49.9939,54.2494,22.4999,22499913.96,22.4999,22499913.96,0.0000,0.00,1219.1891,1219189054.58,1219.1891,1219189054.58,0.0000,0.00,2024-07-02 09:40:27,2712.1418,134407.3,134407340.5,0.00,Close,28.66,
56,1,1,,CCCV Chg,00:27:30,00:27:30,49.9969,54.2526,22.9166,22916578.13,22.9166,22916578.13,0.0000,0.00,1241.7934,1241793422.22,1241.7934,1241793422.22,0.0000,0.00,2024-07-02 09:40:57,2712.4624,130207.6,130207555.6,0.00,Close,29.19,
57,1,1,,CCCV Chg,00:28:00,00:28:00,50.0002,54.2514,23.3332,23333242.31,23.3332,23333242.31,0.0000,0.00,1264.3978,1264397789.87,1264.3978,1264397789.87,0.0000,0.00,2024-07-02 09:41:27,2712.5803,-347220.1,-347220148.1,0.00,Close,29.72,
58,1,1,,CCCV Chg,00:28:30,00:28:30,50.0024,54.2559,23.7499,23749902.22,23.7499,23749902.22,0.0000,0.00,1287.0032,1287003158.76,1287.0032,1287003158.76,0.0000,0.00,2024-07-02 09:41:57,2712.9268,92591.1,92591091.4,0.00,Close,30.25,
59,1,1,,CCCV Chg,00:29:00,00:29:00,50.0003,54.2600,24.1666,24166564.98,24.1666,24166564.98,0.0000,0.00,1309.6098,1309609801.96,1309.6098,1309609801.96,0.0000,0.00,2024-07-02 09:42:27,2713.0184,101625.1,101625062.3,0.00,Close,30.78,
60,1,1,,CCCV Chg,00:29:30,00:29:30,50.0019,54.2637,24.5832,24583227.73,24.5832,24583227.73,0.0000,0.00,1332.2182,1332218174.58,1332.2182,1332218174.58,0.0000,0.00,2024-07-02 09:42:57,2713.2897,112611.6,112611555.6,0.00,Close,31.31,
61,1,1,,CCCV Chg,00:30:00,00:30:00,49.9979,54.2655,24.9999,24999887.64,24.9999,24999887.64,0.0000,0.00,1354.8284,1354828367.64,1354.8284,1354828367.64,0.0000,0.00,2024-07-02 09:43:27,2713.1621,231477.7,231477728.4,0.00,Close,31.84,
62,1,1,,CCCV Chg,00:30:30,00:30:30,49.9997,54.2683,25.4166,25416553.24,25.4166,25416553.24,0.0000,0.00,1377.4398,1377439835.02,1377.4398,1377439835.02,0.0000,0.00,2024-07-02 09:43:57,2713.3971,148809.1,148809142.9,0.00,Close,32.37,
63,1,1,,CCCV Chg,00:31:00,00:31:00,49.9983,54.2744,25.8332,25833216.00,25.8332,25833216.00,0.0000,0.00,1400.0528,1400052758.76,1400.0528,1400052758.76,0.0000,0.00,2024-07-02 09:44:27,2713.6277,68305.4,68305369.8,0.00,Close,32.90,
64,1,1,,CCCV Chg,00:31:30,00:31:30,50.0016,54.2772,26.2499,26249878.76,26.2499,26249878.76,0.0000,0.00,1422.6674,1422667411.91,1422.6674,1422667411.91,0.0000,0.00,2024-07-02 09:44:57,2713.9458,148808.1,148808127.0,0.00,Close,33.43,
65,1,1,,CCCV Chg,00:32:00,00:32:00,49.9985,54.2809,26.6665,26666538.67,26.6665,26666538.67,0.0000,0.00,1445.2837,1445283703.47,1445.2837,1445283703.47,0.0000,0.00,2024-07-02 09:45:27,2713.9625,112610.8,112610786.8,0.00,Close,33.96,
66,1,1,,CCCV Chg,00:32:30,00:32:30,50.0011,54.2867,27.0832,27083204.27,27.0832,27083204.27,0.0000,0.00,1467.9023,1467902270.58,1467.9023,1467902270.58,0.0000,0.00,2024-07-02 09:45:57,2714.3920,71838.9,71838896.6,0.00,Close,34.50,
67,1,1,,CCCV Chg,00:33:00,00:33:00,49.9980,54.2917,27.4999,27499869.87,27.4999,27499869.87,0.0000,0.00,1490.5225,1490522476.09,1490.5225,1490522476.09,0.0000,0.00,2024-07-02 09:46:27,2714.4759,83333.1,83333120.0,0.00,Close,35.03,
68,1,1,,CCCV Chg,00:33:30,00:33:30,49.9960,54.2934,27.9165,27916529.78,27.9165,27916529.78,0.0000,0.00,1513.1445,1513144502.04,1513.1445,1513144502.04,0.0000,0.00,2024-07-02 09:46:57,2714.4539,245094.1,245094065.4,0.00,Close,35.56,
69,1,1,,CCCV Chg,00:34:00,00:34:00,50.0028,54.2997,28.3332,28333195.38,28.3332,28333195.38,0.0000,0.00,1535.7681,1535768075.38,1535.7681,1535768075.38,0.0000,0.00,2024-07-02 09:47:27,2715.1370,66137.4,66137396.8,0.00,Close,36.09,
70,1,1,,CCCV Chg,00:34:30,00:34:30,50.0001,54.3085,28.7499,28749858.13,28.7499,28749858.13,0.0000,0.00,1558.3944,1558394379.38,1558.3944,1558394379.38,0.0000,0.00,2024-07-02 09:47:57,2715.4326,47348.0,47348040.4,0.00,Close,36.62,
71,1,1,,CCCV Chg,00:35:00,00:35:00,50.0011,54.3098,29.1665,29166520.89,29.1665,29166520.89,0.0000,0.00,1581.0225,1581022503.82,1581.0225,1581022503.82,0.0000,0.00,2024-07-02 09:48:27,2715.5476,320509.8,320509812.0,0.00,Close,37.15,
72,1,1,,CCCV Chg,00:35:30,00:35:30,49.9974,54.3171,29.5832,29583183.64,29.5832,29583183.64,0.0000,0.00,1603.6534,1603653358.93,1603.6534,1603653358.93,0.0000,0.00,2024-07-02 09:48:57,2715.7143,57077.1,57077089.8,0.00,Close,37.68,
73,1,1,,CCCV Chg,00:36:00,00:36:00,50.0002,54.3209,29.9998,29999843.56,29.9998,29999843.56,0.0000,0.00,1626.2859,1626285852.44,1626.2859,1626285852.44,0.0000,0.00,2024-07-02 09:49:27,2716.0548,109647.3,109647345.0,0.00,Close,38.21,
74,1,1,,CCCV Chg,00:36:30,00:36:30,50.0019,54.3261,30.4165,30416503.47,30.4165,30416503.47,0.0000,0.00,1648.9207,1648920712.53,1648.9207,1648920712.53,0.0000,0.00,2024-07-02 09:49:57,2716.4098,80126.9,80126906.0,0.00,Close,38.74,
75,1,1,,CCCV Chg,00:37:00,00:37:00,50.0019,54.3327,30.8332,30833163.38,30.8332,30833163.38,0.0000,0.00,1671.5579,1671557939.20,1671.5579,1671557939.20,0.0000,0.00,2024-07-02 09:50:27,2716.7377,63130.3,63130289.6,0.00,Close,39.27,
76,1,1,,CCCV Chg,00:37:30,00:37:30,49.9980,54.3368,31.2498,31249828.98,31.2498,31249828.98,0.0000,0.00,1694.1975,1694197532.44,1694.1975,1694197532.44,0.0000,0.00,2024-07-02 09:50:57,2716.7324,101625.8,101625756.1,0.00,Close,39.80,
77,1,1,,CCCV Chg,00:38:00,00:38:00,49.9993,54.3426,31.6665,31666488.89,31.6665,31666488.89,0.0000,0.00,1716.8391,1716839128.18,1716.8391,1716839128.18,0.0000,0.00,2024-07-02 09:51:27,2717.0925,71837.9,71837915.7,0.00,Close,40.33,
78,1,1,,CCCV Chg,00:38:30,00:38:30,49.9979,54.3499,32.0832,32083154.49,32.0832,32083154.49,0.0000,0.00,1739.4835,1739483454.58,1739.4835,1739483454.58,0.0000,0.00,2024-07-02 09:51:57,2717.3809,57077.5,57077479.5,0.00,Close,40.86,
79,1,1,,CCCV Chg,00:39:00,00:39:00,49.9994,54.3539,32.4998,32499817.24,32.4998,32499817.24,0.0000,0.00,1762.1303,1762130329.60,1762.1303,1762130329.60,0.0000,0.00,2024-07-02 09:52:27,2717.6651,104165.7,104165688.9,0.00,Close,41.39,
80,1,1,,CCCV Chg,00:39:30,00:39:30,49.9993,54.3621,32.9165,32916480.00,32.9165,32916480.00,0.0000,0.00,1784.7796,1784779571.20,1784.7796,1784779571.20,0.0000,0.00,2024-07-02 09:52:57,2718.0680,50812.5,50812531.2,0.00,Close,41.93,
81,1,1,,CCCV Chg,00:40:00,00:40:00,49.9995,54.3691,33.3331,33333142.76,33.3331,33333142.76,0.0000,0.00,1807.4317,1807431725.51,1807.4317,1807431725.51,0.0000,0.00,2024-07-02 09:53:27,2718.4300,59523.3,59523250.8,0.00,Close,42.46,
82,1,1,,CCCV Chg,00:40:30,00:40:30,50.0014,54.3769,33.7498,33749805.51,33.7498,33749805.51,0.0000,0.00,1830.0864,1830086428.44,1830.0864,1830086428.44,0.0000,0.00,2024-07-02 09:53:57,2718.9233,53418.3,53418302.0,0.00,Close,42.99,
83,1,1,,CCCV Chg,00:41:00,00:41:00,49.9982,54.3831,34.1665,34166465.42,34.1665,34166465.42,0.0000,0.00,1852.7440,1852744044.09,1852.7440,1852744044.09,0.0000,0.00,2024-07-02 09:54:27,2719.0571,67203.2,67203211.5,0.00,Close,43.52,
84,1,1,,CCCV Chg,00:41:30,00:41:30,49.9997,54.3896,34.5831,34583128.18,34.5831,34583128.18,0.0000,0.00,1875.4048,1875404754.49,1875.4048,1875404754.49,0.0000,0.00,2024-07-02 09:54:57,2719.4659,64102.0,64101962.4,0.00,Close,44.05,
85,1,1,,CCCV Chg,00:42:00,00:42:00,50.0051,54.3972,34.9998,34999788.09,34.9998,34999788.09,0.0000,0.00,1898.0687,1898068741.69,1898.0687,1898068741.69,0.0000,0.00,2024-07-02 09:55:27,2720.1352,54823.7,54823672.5,0.00,Close,44.58,
86,1,1,,CCCV Chg,00:42:30,00:42:30,49.9985,54.4069,35.4165,35416453.69,35.4165,35416453.69,0.0000,0.00,1920.7364,1920736369.78,1920.7364,1920736369.78,0.0000,0.00,2024-07-02 09:55:57,2720.2612,42955.2,42955216.5,0.00,Close,45.11,
87,1,1,,CCCV Chg,00:43:00,00:43:00,50.0011,54.4164,35.8331,35833113.60,35.8331,35833113.60,0.0000,0.00,1943.4071,1943407092.62,1943.4071,1943407092.62,0.0000,0.00,2024-07-02 09:56:27,2720.8826,43858.9,43858938.0,0.00,Close,45.64,
88,1,1,,CCCV Chg,00:43:30,00:43:30,49.9993,54.4232,36.2498,36249776.36,36.2498,36249776.36,0.0000,0.00,1966.0816,1966081638.40,1966.0816,1966081638.40,0.0000,0.00,2024-07-02 09:56:57,2721.1192,61273.9,61273934.6,0.00,Close,46.17,
89,1,1,,CCCV Chg,00:44:00,00:44:00,49.9984,54.4317,36.6664,36666439.11,36.6664,36666439.11,0.0000,0.00,1988.7596,1988759643.02,1988.7596,1988759643.02,0.0000,0.00,2024-07-02 09:57:27,2721.4963,49019.1,49019147.7,0.00,Close,46.70,
90,1,1,,CCCV Chg,00:44:30,00:44:30,49.9985,54.4408,37.0831,37083101.87,37.0831,37083101.87,0.0000,0.00,2011.4407,2011440742.40,2011.4407,2011440742.40,0.0000,0.00,2024-07-02 09:57:57,2721.9583,45787.1,45787116.0,0.00,Close,47.23,
91,1,1,,CCCV Chg,00:45:00,00:45:00,50.0015,54.4517,37.4998,37499764.62,37.4998,37499764.62,0.0000,0.00,2034.1271,2034127121.07,2034.1271,2034127121.07,0.0000,0.00,2024-07-02 09:58:27,2722.6683,38225.9,38225940.9,0.00,Close,47.76,
92,1,1,,CCCV Chg,00:45:30,00:45:30,49.9994,54.4633,37.9164,37916427.38,37.9164,37916427.38,0.0000,0.00,2056.8173,2056817322.67,2056.8173,2056817322.67,0.0000,0.00,2024-07-02 09:58:57,2723.1312,35919.2,35919203.1,0.00,Close,48.29,
93,1,1,,CCCV Chg,00:46:00,00:46:00,50.0002,54.4751,38.3331,38333090.13,38.3331,38333090.13,0.0000,0.00,2079.5128,2079512803.56,2079.5128,2079512803.56,0.0000,0.00,2024-07-02 09:59:27,2723.7648,35310.4,35310403.0,0.00,Close,48.82,
